	Id	ParentId	Level	DepthInKind	BlockCode
24447	589880237	406219877	4	1	XH7PV7
24448	1388720498	406219877	4	1	XH1J18
24449	1067507454	406219877	4	1	XH4XT4
24450	187605834	406219877	4	1	XH8VV4
24451	876689600	406219877	4	1	XH86U0
24452	1313748001	406219877	4	1	XH60Q1
24453	1846605421	406219877	4	1	XH0YE1
24454	1247023727	406219877	4	1	XH40U7
24455	1040197074	406219877	4	1	XH2F54
24456	1896410439	406219877	4	1	XH9BR9
24457	2069934779	406219877	4	1	XH03F9
24458	1925254893	406219877	4	1	XH4JD4
24459	1036633720	406219877	4	1	XH46Q0
24460	933337476	406219877	4	1	XH8J76
24461	2024362257	406219877	4	1	XH7UM7
24462	1559082259	406219877	4	1	XH8Q19
24463	120963710	406219877	4	1	XH3ZM0
24464	149373156	406219877	4	1	XH1JT6
24465	1927826435	406219877	4	1	XH6ZR5
24466	227616764	406219877	4	1	XH0124
24467	1922626366	406219877	4	1	XH75E6
24468	501725963	496794681	3	3	
24469	146718003	501725963	4	1	XH1VJ3
24470	396797465	501725963	4	1	XH51C6
24471	684277137	501725963	4	1	XH3HT7
24472	879262254	501725963	4	1	XH0RF4
24473	1426997669	501725963	4	1	XH2PY9
24474	870996432	1426997669	1	1	
24475	1846961966	870996432	2	2	
24476	1605092722	1846961966	3	1	XJ8HG
24477	1316596941	1605092722	4	2	XJ4PF
24478	1997087869	1316596941	5	3	XJ4NH
24479	1487676995	1316596941	5	3	XJ7TR
24480	724722009	1605092722	4	2	XJ257
24481	1604268454	1605092722	4	2	XJ5GA
24482	987036724	1605092722	4	2	XJ7ZW
24483	1228566440	1605092722	4	2	XJ3R2
24484	745644594	1605092722	4	2	XJ19C
24485	1490875085	1605092722	4	2	XJ4B7
24486	1033322329	1605092722	4	2	XJ7F7
24487	1090398747	1605092722	4	2	XJ1HD
24488	632678287	1605092722	4	2	XJ9JX
24489	2146781637	1846961966	3	1	XJ7JD
24490	698840212	2146781637	4	2	XJ31W
24491	1557989891	698840212	5	3	XJ243
24492	395160632	698840212	5	3	XJ4FJ
24493	1682613589	2146781637	4	2	XJ82Z
24494	1406764075	2146781637	4	2	XJ3XZ
24495	1812228440	2146781637	4	2	XJ1NG
24496	1416232217	2146781637	4	2	XJ4CR
24497	1995059070	2146781637	4	2	XJ9MY
24498	1098452484	2146781637	4	2	XJ8E0
24499	1758410389	2146781637	4	2	XJ68M
24500	1522983570	2146781637	4	2	XJ9UE
24501	1696272353	2146781637	4	2	XJ3MB
24502	139103082	1846961966	3	1	XJ1D4
24503	932668953	139103082	4	2	XJ71T
24504	372031635	139103082	4	2	XJ6NX
24505	1020277744	139103082	4	2	XJ36Y
24506	31690185	1020277744	2	2	
24507	676705630	31690185	3	1	XJ5GS
24508	75909427	676705630	4	2	XJ5L7
24509	873599689	676705630	4	2	XJ92H
24510	533107744	31690185	3	1	XJ5VJ
24511	1698596380	870996432	2	2	
24512	1387112294	1698596380	3	1	XJ44E
24513	1882092801	1698596380	3	1	XJ7YM
24514	576712805	870996432	2	2	
24515	1126329182	576712805	3	1	XJ36W
24516	1941319848	576712805	3	1	XJ2EL
24517	1225495470	576712805	3	1	XJ76E
24518	1856452751	576712805	3	1	XJ7ZH
24519	2006159364	576712805	3	1	XJ1Z6
24520	1080133681	576712805	3	1	XJ1PP
24521	56999138	576712805	3	1	XJ778
24522	302675287	576712805	3	1	XJ9UB
24523	39276591	576712805	3	1	XJ69V
24524	1210711974	576712805	3	1	XJ8PQ
24525	1451058270	576712805	3	1	XJ0QE
24526	870613257	576712805	3	1	XJ5N9
24527	1227306904	576712805	3	1	XJ45W
24528	750703299	576712805	3	1	XJ7AT
24529	25495220	576712805	3	1	XJ4PE
24530	718215016	576712805	3	1	XJ392
24531	1801367926	576712805	3	1	XJ6RL
24532	1274784063	576712805	3	1	XJ4CX
24533	1157346122	576712805	3	1	XJ4FU
24534	801921263	576712805	3	1	XJ3HH
24535	517952894	576712805	3	1	XJ64N
24536	1331098173	576712805	3	1	XJ909
24537	898974882	576712805	3	1	XJ9XQ
24538	1343005175	576712805	3	1	XJ967
24539	804640573	576712805	3	1	XJ5V7
24540	1520378894	576712805	3	1	XJ6NA
24541	293807484	576712805	3	1	XJ8QL
24542	1092879018	870996432	2	2	
24543	377475788	1092879018	3	1	XJ652
24544	1306914119	1092879018	3	1	XJ8JK
24545	2040998541	1092879018	3	1	XJ9NV
24546	1442982067	1092879018	3	1	XJ4D1
24547	1704055292	1092879018	3	1	XJ69A
24548	2010469183	1092879018	3	1	XJ06K
24549	1004338415	2010469183	1	1	
24550	847623771	1004338415	2	2	
24551	1851145654	847623771	3	1	XE72E
24552	341389655	1851145654	4	2	XE9S7
24553	1857275174	341389655	5	3	XE9EE
24554	565906867	341389655	5	3	XE8TM
24555	555531715	1851145654	4	2	XE3S3
24556	1800097958	1851145654	4	2	XE85L
24557	608409651	1851145654	4	2	XE5XH
24558	1511324284	847623771	3	1	XE3Y8
24559	1855621064	1511324284	4	2	XE8J4
24560	1321485700	1511324284	4	2	XE3QG
24561	1294344097	847623771	3	1	XE4U1
24562	36624182	1294344097	4	2	XE1TU
24563	644494136	1294344097	4	2	XE0VW
24564	1652759967	1294344097	4	2	XE359
24565	764138762	1294344097	4	2	XE9PG
24566	953340724	1294344097	4	2	XE972
24567	922767790	847623771	3	1	XE214
24568	959471870	922767790	4	2	XE2YW
24569	2111393365	922767790	4	2	XE4UV
24570	852592320	922767790	4	2	XE6LQ
24571	663257338	922767790	4	2	XE20S
24572	1016754338	922767790	4	2	XE59C
24573	417240228	922767790	4	2	XE4FE
24574	743500056	847623771	3	1	XE64Q
24575	322925214	743500056	4	2	XE72F
24576	1764785791	743500056	4	2	XE1AF
24577	1231993907	847623771	3	1	XE8NX
24578	126142314	1231993907	4	2	XE9N2
24579	856341214	1231993907	4	2	XE9LA
24580	207954260	1231993907	4	2	XE17S
24581	1986670005	1231993907	4	2	XE2NR
24582	1446309881	1231993907	4	2	XE33X
24583	1919945723	1231993907	4	2	XE2PV
24584	100035293	1231993907	4	2	XE5QH
24585	1258201672	1231993907	4	2	XE9RJ
24586	1083637172	1231993907	4	2	XE2DJ
24587	262026529	847623771	3	1	XE6JM
24588	1861750444	262026529	4	2	XE0S0
24589	447494423	262026529	4	2	XE5WP
24590	1436873090	262026529	4	2	XE9T8
24591	1607249534	262026529	4	2	XE494
24592	281306859	262026529	4	2	XE515
24593	880837353	262026529	4	2	XE00Z
24594	1868100996	262026529	4	2	XE4AY
24595	864114369	847623771	3	1	XE3SH
24596	1234065952	864114369	4	2	XE13E
24597	1994506666	864114369	4	2	XE1SS
24598	2027024634	847623771	3	1	XE1HL
24599	1546822794	2027024634	4	2	XE202
24600	1161373428	2027024634	4	2	XE8A0
24601	246468916	2027024634	4	2	XE8DS
24602	59113228	2027024634	4	2	XE60C
24603	2084670388	59113228	5	3	XE82Y
24604	1802104692	59113228	5	3	XE436
24605	429438452	59113228	5	3	XE6JQ
24606	551557300	59113228	5	3	XE5PJ
24607	2144490277	2027024634	4	2	XE5DF
24608	1134515717	2144490277	5	3	XE4ZB
24609	742325659	2144490277	5	3	XE07M
24610	1664496912	2144490277	5	3	XE67J
24611	1407198740	2027024634	4	2	XE9Y8
24612	1737204528	1407198740	5	3	XE22U
24613	1012126813	1407198740	5	3	XE27P
24614	1574666141	2027024634	4	2	XE7Y1
24615	1688457949	2027024634	4	2	XE3RX
24616	2062023493	2027024634	4	2	XE7BT
24617	1873653802	2027024634	4	2	XE7SS
24618	1456807274	2027024634	4	2	XE3WS
24619	1556582692	2027024634	4	2	XE4TW
24620	1991459958	2027024634	4	2	XE67Q
24621	844786397	2027024634	4	2	XE42R
24622	2102567496	2027024634	4	2	XE00G
24623	1465681947	2102567496	2	2	
24624	2071638841	1465681947	3	1	XE545
24625	1468452550	2071638841	4	2	XE7NW
24626	1862165382	2071638841	4	2	XE9Q2
24627	1107435129	1465681947	3	1	XE8VF
24628	1513020610	1107435129	4	2	XE1C6
24629	1666609538	1107435129	4	2	XE3RL
24630	1428847289	1465681947	3	1	XE729
24631	1120699819	1428847289	4	2	XE3HD
24632	821249273	1465681947	3	1	XE38D
24633	1710227827	821249273	4	2	XE5UF
24634	668672057	821249273	4	2	XE617
24635	879017037	821249273	4	2	XE5C9
